Nome,Cidade,Estado,Telefone,Site,Email,Fonte
Fleury - Unidade Campinas,Campinas,SP,(19) 3179-0800,https://www.fleury.com.br/,,Google Search
Alta Diagnósticos - Unidade Campinas,Campinas,SP,(19) 3094-8500,https://www.altadiagnosticos.com.br/,,Google Search
DASA - Unidade Sorocaba,Sorocaba,SP,(15) 3003-0059,https://dasa.com.br/,,Google Search
IRI - Instituto de Radiologia Itapetininga,Itapetininga,SP,(15) 3373-4300,,,Google Search
Diagnóstico por Imagem - Hospital São Francisco,Ribeirão Preto,SP,(16) 2101-9000,,,Google Search
Centro Radiológico Campinas,Campinas,SP,(19) 3735-6200,https://www.crc.med.br/,,Google Search
CDI - Centro de Diagnóstico por Imagem Petrópolis,Petrópolis,RJ,(24) 2242-5800,,,Google Search
Imagem Diagnósticos - Volta Redonda,Volta Redonda,RJ,(24) 3347-7100,,,Google Search
CEDIRJ - Unidade Campos dos Goytacazes,Campos dos Goytacazes,RJ,(22) 2738-2200,,,Google Search
Multi-Imagem - Unidade Nova Friburgo,Nova Friburgo,RJ,(22) 2522-1500,https://www.multi-imagem.com.br/,,Google Search
Fleury - Unidade Barra da Tijuca,Rio de Janeiro,RJ,(21) 3179-0800,https://www.fleury.com.br/,,Google Search
DASA - Unidade Niterói,Niterói,RJ,(21) 3003-0059,https://dasa.com.br/,,Google Search
CERPE - Unidade Recreio,Rio de Janeiro,RJ,(21) 3410-2200,https://www.cerpe.com.br/,,Google Search
