Nome,Cidade,Estado,Telefone,Site,Email,Fonte,CNPJ,Endereco,Modalidades,Unidades,Nome Decisor,Cargo,Coordenacao Tecnica,Direcao Clinica,LinkedIn Clinica,LinkedIn Decisor,Observacoes
DASA - Diagnósticos da América,São Paulo,SP,(11) 3003-0059,https://dasa.com.br/,contato@dasa.com.br,Google Search,61.486.650/0001-83,"Av. Juruá, 434, Alphaville, Barueri - SP, 06455-010","RX, TC, RM, Mamografia, Densitometria, US, PET-CT, Medicina Nuclear, Hemodinâmica",900+ (maior rede de medicina diagnóstica da América Latina),Pedro Bueno,CEO,Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,"Maior grupo de medicina diagnóstica da América Latina. Capital aberto (DASA3). Dono de marcas como Alta, Delboni, Sérgio Franco, CDPI, Multi-Imagem, CERPE, entre outras."
Alta Diagnósticos,São Paulo,SP,(11) 3094-8500,https://www.altadiagnosticos.com.br/,contato@dasa.com.br,Google Search,61.486.650/0827-24 (DASA filial),"Rua Maranhão, 983, Higienópolis, São Paulo - SP, 01240-001","RX, TC, RM, Mamografia, US, Densitometria",Parte do Grupo DASA (900+ unidades),Pedro Bueno,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA. Unidade flagship em Higienópolis.
Diagnoson - Unidade Centro,São Paulo,SP,(11) 3101-7100,https://www.diagnoson.com.br/,central@fleury.com.br,Google Search,60.840.055/0201-67 (Fleury filial),"Rua Pernambuco, 14, Pituba, Salvador - BA (matriz). Unidade Centro em São Paulo.","US, Densitometria, RX, Mamografia",Parte do Grupo Fleury (90+ unidades),Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Parte do Grupo Fleury. Especializada em ultrassonografia e densitometria.
Lumen Diagnósticos,São Paulo,SP,(11) 3179-0822,https://www.lumendiagnosticos.com.br/,contato@lumendiagnosticos.com.br,Google Search,59.978.148/0001-48,"Rua Américo Brasiliense, 628, Centro, São Bernardo do Campo - SP, 09715-021","RX, TC, RM, Mamografia, US, Densitometria",1 unidade (São Bernardo do Campo),Antonio Milani,Sócio-Administrador,Antonio Milani,Antonio Milani,https://www.lumendiagnosticos.com.br/,Não encontrado,Clínica independente sediada em São Bernardo do Campo-SP.
CURA Grupo - Diagnóstico por Imagem,São Paulo,SP,(11) 3272-6200,https://www.curagrupo.com.br/,contato@curagrupo.com.br,Google Search,52.714.307/0001-58 (holding Merya),"Av. Brigadeiro Luís Antônio, 4469, Jardim Paulista, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria, PET-CT",Várias unidades em SP,Juliano Estopilha Rolim,Presidente,Rodrigo Fernando Thadeu Burgos de Sousa (Diretor),Rodrigo Fernando Thadeu Burgos de Sousa (Diretor),https://www.linkedin.com/company/cura-grupo/,https://www.linkedin.com/company/cura-grupo/,Grupo de diagnóstico por imagem com sede em SP. CNPJ matriz em Londrina-PR.
CEDIR - Centro de Diagnóstico por Imagem,Campinas,SP,(19) 3707-6000,https://www.cedir.com.br/,contato@cedir.com.br,Google Search,04.484.081/0001-01,"Av. Barão de Itapura, 610, Botafogo, Campinas - SP, 13020-430","RX, TC, RM, Mamografia, US, Densitometria",1 unidade principal em Campinas,Hélio Sebastião Amâncio de Camargo Junior,Sócio-Administrador,Hélio Sebastião Amâncio de Camargo Junior,Hélio Sebastião Amâncio de Camargo Junior,https://www.cedir.com.br/,Não encontrado,Centro de diagnóstico por imagem em Campinas-SP.
Instituto Hermes Pardini - Unidade Campinas,Campinas,SP,(31) 3228-2000,https://www.hermespardini.com.br/,contato@hermespardini.com.br,Google Search,19.378.769/0001-76,"Unidade Campinas: Av. Miguel Conejo, 1137. Matriz: Rua Aimorés, 66, Belo Horizonte - MG","RX, TC, RM, Mamografia, US, Densitometria, Medicina Nuclear, PET-CT",Parte do Grupo Hermes Pardini (80+ unidades),Roberto Santoro,CEO,Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/hermes-pardini/,https://www.linkedin.com/in/roberto-santoro/,Parte do Grupo Hermes Pardini (fundido com Fleury). Capital aberto (FLRY3).
Life Imagem Diagnóstico por Imagem,Rio de Janeiro,RJ,(21) 2672-9072,https://www.lifeimagem.com.br/,contato@lifeimagem.com.br,Google Search,40.297.269/0001-04,"Av. Graça Aranha, 416, Sala 217, Centro, Rio de Janeiro - RJ, 20030-903","RX, TC, RM, US, Mamografia, Densitometria",Múltiplas unidades no RJ,Carlos Alberto Martins de Souza,Sócio-Administrador,Carlos Alberto Martins de Souza,Carlos Alberto Martins de Souza,https://www.lifeimagem.com.br/,Não encontrado,Clínica de diagnóstico por imagem no Rio de Janeiro.
Hospital Pasteur - Centro de Imagem,Rio de Janeiro,RJ,(21) 2104-4400,https://www.hospitalpasteur.com.br/,faleconosco@hospitalpasteur.com.br,Google Search,03.410.722/0001-02 (Meier Medical Center),"Av. Amaro Cavalcanti, 495, Méier, Rio de Janeiro - RJ, 20735-040","RX, TC, RM, US, Mamografia, Hemodinâmica",1 hospital com centro de imagem,Abraham Fiszman,Diretor,Não encontrado,Não encontrado,https://www.linkedin.com/company/hospital-pasteur/,Não encontrado,"Hospital com centro de imagem integrado. Unidades também em Rua Ana Néri, 190 e Rua Bacairis, 499."
CDPI - Centro de Diagnóstico por Imagem,Rio de Janeiro,RJ,(21) 3094-7700,https://cdpi.com.br/,contato@dasa.com.br,Google Search,00.274.071/0003-44 (CDPI) / 61.486.650/0577-03 (DASA),"Rua João Lira, 95, Leblon, Rio de Janeiro - RJ, 22430-210","RX, TC, RM, Mamografia, US, PET-CT, Densitometria",Parte do Grupo DASA (múltiplas no RJ),Pedro Bueno,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,"Parte do Grupo DASA. Unidades no Leblon, Barra da Tijuca (Av. das Américas, 6205) e Niterói."
Clínica de Radiologia RJ - Exames de Imagem,Rio de Janeiro,RJ,(21) 97312-6113,https://clinicarj.com.br/,contato@clinicarj.com.br,Google Search,27.766.880/0001-68,"Rua Álvares de Azevedo, 62, Icaraí, Niterói - RJ, 24220-021","RX, US, Mamografia, Densitometria, TC",2 unidades (Icaraí e Centro - Niterói),Não encontrado,Não encontrado,Não encontrado,Não encontrado,https://clinicarj.com.br/,Não encontrado,Clínica de radiologia e ultrassonografia sediada em Niterói-RJ. Atende também pacientes do Rio de Janeiro.
Centro de Medicina - Laboratório e Exames,Rio de Janeiro,RJ,(21) 2672-9072,https://www.centrodemed.com.br/,contato@hermespardini.com.br,Google Search,19.378.769/0001-76 (Hermes Pardini),"Múltiplas unidades no RJ: Praça Serzedelo Correia, 15 (Copacabana); Rua Conde de Bonfim, 344 (Tijuca); Rua Frederico Méier, 12 (Méier); Av. Brigadeiro Lima e Silva, 1976","RX, TC, RM, Mamografia, US, Densitometria, Medicina Nuclear",Parte do Grupo Hermes Pardini (80+ unidades),Roberto Santoro,CEO (Grupo Hermes Pardini),Não encontrado,Não encontrado,https://www.linkedin.com/company/hermes-pardini/,https://www.linkedin.com/in/roberto-santoro/,"Parte do Grupo Hermes Pardini. Antiga marca Centro de Medicina, agora integrada ao Hermes Pardini."
Imagem Integrada,Rio de Janeiro,RJ,(21) 2288-9123,https://imagemintegrada.com.br/,contato@imagemintegrada.com.br,Google Search,15.385.382/0001-96,"Av. Armando Lombardi, 1000, Barra da Tijuca, Rio de Janeiro - RJ, 22640-000","RX, TC, RM, US, Mamografia, Densitometria",1 unidade (Barra da Tijuca),Leonardo Coutinho Maynart Aragão,Sócio-Administrador,Leonardo Coutinho Maynart Aragão,Cristina Milene Barbosa Maynart Aragão,https://imagemintegrada.com.br/,Não encontrado,Clínica de serviços médicos e diagnóstico por imagem na Barra da Tijuca.
Clínica Felippe Mattoso,Rio de Janeiro,RJ,(21) 3179-0800,https://www.fmattoso.com.br/,central@fleury.com.br,Google Search,33.070.228/0001-07 (próprio) / 60.840.055/0312-82 (Fleury),"Av. Bartolomeu Mitre, 600, Leblon, Rio de Janeiro - RJ, 22431-004","RX, TC, RM, Mamografia, US, Densitometria",Parte do Grupo Fleury (múltiplas no RJ),Jeane Tsutsui,CEO (Grupo Fleury),Não encontrado,Não encontrado,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,"Parte do Grupo Fleury. Unidades no Leblon, Jardim Botânico, Ipanema e São Paulo."
Casa de Saúde São José - CDI,Rio de Janeiro,RJ,(21) 2195-0250,https://redesantacatarina.org.br/hospital/saojose-rio/,contato@saojose.org.br,Google Search,60.922.168/0003-48 (Associação Congregação de Santa Catarina),"Rua Macedo Sobrinho, 21, Botafogo, Rio de Janeiro - RJ, 22271-080","RX, TC, RM, US, Mamografia, Hemodinâmica",1 hospital (Rede Santa Catarina),Não encontrado,Diretor,Não encontrado,Não encontrado,https://www.linkedin.com/company/redesantacatarina/,Não encontrado,Parte da Rede Santa Catarina. Hospital com centro de diagnóstico por imagem integrado.
Instituto Hermes Pardini - Unidade Miguel Couto,Rio de Janeiro,RJ,(31) 3228-2000,https://www.hermespardini.com.br/,contato@hermespardini.com.br,ValeSaúde,19.378.769/0123-44 (filial),"Rua Miguel Couto, 30, Centro, Rio de Janeiro - RJ, 20070-030","RX, TC, RM, Mamografia, US, Densitometria, Medicina Nuclear",Parte do Grupo Hermes Pardini (80+ unidades),Roberto Santoro,CEO (Grupo Hermes Pardini),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/hermes-pardini/,https://www.linkedin.com/in/roberto-santoro/,Parte do Grupo Hermes Pardini. Unidade no Centro do Rio de Janeiro.
Multi-Imagem Diagnósticos,Rio de Janeiro,RJ,(21) 2535-4900,https://www.multi-imagem.com.br/,contato@dasa.com.br,Google Search,01.258.224/0001-60 (próprio) / 61.486.650/0537-08 (DASA),"Rua Almirante Sadock de Sá, 266, Ipanema, Rio de Janeiro - RJ, 22411-040","RX, TC, RM, Mamografia, US, PET-CT, Densitometria",Parte do Grupo DASA (múltiplas no RJ),Pedro Bueno,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA. Especializada em ressonância magnética. Unidades em Ipanema e Madureira.
CERPE - Centro de Radiologia e Propedêutica Especializada,Rio de Janeiro,RJ,(21) 2567-7530,https://www.cerpe.com.br/,contato@dasa.com.br,Google Search,07.607.755/0001-06 (CERPE) / 61.486.650/0944-98 (DASA filial),"Rua 28 de Setembro, 77, Vila Isabel, Rio de Janeiro - RJ, 20551-030","RX, TC, RM, Mamografia, US, Densitometria, Medicina Nuclear",Parte do Grupo DASA (múltiplas no RJ),Pedro Bueno,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA. Centro de Radiologia e Propedêutica Especializada. Originalmente fundado como centro de estudos em reumatologia.
Delfin Medicina Diagnóstica,Rio de Janeiro,RJ,(21) 2533-7000,https://www.delfin.com.br/,contato@dasa.com.br,Google Search,61.486.650/0001-83 (DASA),Marca Delfin operada pelo Grupo DASA no Rio de Janeiro,"RX, TC, RM, Mamografia, US, Densitometria",Parte do Grupo DASA,Pedro Bueno,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA. Marca de medicina diagnóstica atuante no Rio de Janeiro. Telefone: (21) 2533-7000.
Radimagem Diagnóstico por Imagem,Rio de Janeiro,RJ,(21) 2254-0571,https://www.radimagem.com.br/,Não encontrado,Google Search,07.607.434/0001-01,"Rua Piraí, 132, Marechal Hermes, Rio de Janeiro - RJ, 21555-530","RX, TC, RM, US, Mamografia, Densitometria",1 unidade no RJ,Edgard José de Resende Filho,Sócio-Administrador,Paulo Roberto de Resende,Edgard José de Resende Filho,https://www.radimagem.com.br/,Não encontrado,"Clínica de radiologia e diagnóstico por imagem em Marechal Hermes, Rio de Janeiro."
CADI - Centro Avançado de Diagnóstico por Imagem,Rio de Janeiro,RJ,(21) 2233-4200,Não encontrado,Não encontrado,Google Search,05.614.541/0002-04,"Rua Jorge Silva, 170, Barra de São João, Casimiro de Abreu - RJ (matriz). Possível unidade no Rio de Janeiro.","RX, TC, RM, US, Mamografia",Unidades no estado do RJ,Karen de Souza Salles Martins,Sócia-Administradora,Leonardo Salles Martins,Leonardo Salles Martins,Não encontrado,Não encontrado,Centro Avançado de Diagnóstico por Imagem. CNPJ registrado em Casimiro de Abreu-RJ. Telefone: (21) 2233-4200.
Diagnose - Centro de Diagnóstico por Imagem,Rio de Janeiro,RJ,Não encontrado,Não encontrado,Não encontrado,Google Search,30.495.741/0001-51,"Rua Santa Lúcia, 35, Laranjeiras, Rio de Janeiro - RJ, 22241-010","RX, TC, RM, US, Mamografia, Densitometria",1 unidade (Laranjeiras),João Elias Antonio,Sócio-Administrador,João Elias Antonio,João Elias Antonio,Não encontrado,Não encontrado,"Centro de diagnóstico por imagem em Laranjeiras, Rio de Janeiro."
CDPI - Unidade Niterói,Niterói,RJ,(21) 3094-7700,https://cdpi.com.br/unidades/,contato@dasa.com.br,Google Search,00.274.071/0003-44 (CDPI) / 61.486.650/0577-03 (DASA),"Av. Roberto Silveira, 512, Icaraí, Niterói - RJ","RX, TC, RM, Mamografia, US, PET-CT, Densitometria",Parte do Grupo DASA,Pedro Bueno,CEO (Grupo DASA),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,Parte do Grupo DASA. Unidade CDPI em Niterói.
CDPI - Unidade Barra,Rio de Janeiro,RJ,(21) 3094-7700,https://cdpi.com.br/unidades/,contato@dasa.com.br,Google Search,61.486.650/0001-83,"Av. das Américas, Barra da Tijuca, Rio de Janeiro - RJ (rede DASA)","RX, TC, RM, US, Mamografia, Densitometria, PET-CT",Parte da rede DASA (900+ nacional; CDPI: ~15 no RJ),Lício Cintra,CEO DASA,Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/dasa/,https://www.linkedin.com/in/pedro-bueno-dasa/,CDPI é a marca de diagnóstico por imagem da DASA no Rio de Janeiro. CNPJ da controladora DASA.
Richet Medicina & Diagnóstico,Rio de Janeiro,RJ,(21) 3003-2233,https://www.richet.com.br/,contato@richet.com.br,Google Search,31.887.136/0001-99,"Av. das Américas, 13331, Barra da Tijuca, Rio de Janeiro - RJ, 22790-701","RX, TC, RM, US, Mamografia, Densitometria, Medicina Nuclear, PET-CT",~20 no RJ,Hélio Magarinos Torres Filho,Diretor,Hélio Magarinos Torres Filho (Diretor),https://www.linkedin.com/company/richet-medicina-e-diagnostico/,https://www.linkedin.com/company/richet-medicina-e-diagnostico/,CNPJ verificado via Brasil API (Receita Federal). Laboratório tradicional do RJ. Conectado à Rede D'Or São Luiz (weblaudos.richet.com.br em domínio rededorsaoluiz.com.br).,CNPJ verificado via Brasil API. Laboratório tradicional do RJ. Conectado à Rede D'Or São Luiz.
Lavoisier - Unidade Rio de Janeiro,Rio de Janeiro,RJ,(21) 3003-2595,https://www.lavoisier.com.br/,central@fleury.com.br,ValeSaúde,60.840.055/0001-31,"Av. Paulista, 726, Bela Vista, São Paulo - SP","RX, TC, RM, Mamografia, US, Densitometria",90+ (parte do Grupo Fleury),Jeane Tsutsui,CEO (Grupo Fleury),Centralizado na matriz,Centralizado na matriz,https://www.linkedin.com/company/fleury/,https://www.linkedin.com/in/jeane-tsutsui/,Parte do Grupo Fleury. Mesmo CNPJ controlador.
Labi Exames - Unidade RJ,Rio de Janeiro,RJ,(11) 3003-0059,https://labiexames.com.br/imagens/,contato@labiexames.com.br,Google Search,27.579.749/0001-91,"Matriz: Rua Sansão Alves dos Santos, 76, Cidade Monções, São Paulo - SP, 04571-090","RX, US, Mamografia (foco principal: análises clínicas)",~100+ nacional,Sérgio Marques,Co-fundador e CEO,Centralizado na matriz (São Paulo),Centralizado na matriz (São Paulo),https://www.linkedin.com/company/labiexames/,https://www.linkedin.com/in/sergiomarques/,CNPJ verificado via Brasil API. Rede de laboratórios com exames de imagem. Expansão recente no RJ.
